IP 地址	已发送	已接收	丢包率	平均延迟	下载速度 (MB/s)
104.27.49.13	4	4	0.00	192.83	24.58
172.67.81.103	4	4	0.00	192.90	23.97
104.27.58.33	4	4	0.00	192.74	23.74
172.67.96.225	4	4	0.00	189.46	23.01
104.27.36.67	4	4	0.00	192.15	22.68
172.66.169.173	4	4	0.00	191.99	21.76
104.27.117.37	4	4	0.00	193.25	17.39
104.16.247.203	4	4	0.00	189.71	16.33
104.26.11.112	4	4	0.00	155.42	9.47
104.26.12.181	4	4	0.00	152.45	9.08
104.20.30.48	4	4	0.00	156.94	8.75
162.159.143.197	4	4	0.00	147.32	8.72
104.20.21.25	4	4	0.00	155.80	8.55
104.20.25.133	4	4	0.00	165.32	8.18
104.26.3.142	4	4	0.00	150.70	7.96
172.67.66.32	4	4	0.00	149.89	7.84
162.159.136.139	4	4	0.00	152.00	6.44
104.26.5.92	4	4	0.00	152.39	6.11
104.20.16.221	4	4	0.00	156.88	5.82
104.26.15.164	4	4	0.00	153.48	5.69
